timestamp_unix;timestamp_esp;device_id;suhu;kelembaban;interval_ms;latency_ms;jitter_ms;packet_rate;label
1.779.149.108.164;912655;ESP32-IDS-01;28.9;68.3;551;20;4;3.4;normal
1779150152.75;1957306;ESP32-IDS-01;28.9;68.0;365;19;1;1.0;dos
1779150324.88;121764;ESP32-IDS-01;28.8;67.9;10000;67;7;3.55;dos
1.779.152.761.121;237831;ESP32-IDS-01;29.9;63.4;833;32;45;3.7;dos
1.779.152.798.081;274846;ESP32-IDS-01;29.9;63.3;587;25;9;7.81;dos
1.779.155.239.043;504908;ESP32-IDS-01;30.0;62.3;998;21;7;3.0;dos
1.779.151.289.691;1091752;ESP32-IDS-01;29.9;64.5;815;20;1;0.9;dos
1.779.151.367.633;1169700;ESP32-IDS-01;29.9;64.4;692;19;1;0.1;dos
1.779.158.747.168;9502;ESP32-IDS-01;30.2;61.5;924;71;47;3.3;dos
1.779.145.793.759;9708;ESP32-IDS-01;28.5;64.7;732;21;2;0.9;normal
1.779.164.713.589;385329;ESP32-IDS-01;30.2;62.9;725;29;4;2.6;dos
1.779.167.056.871;95727;ESP32-IDS-01;28.8;53.1;876;24;23;3.14;dos
1.779.152.755.912;232600;ESP32-IDS-01;30.0;63.3;1181;51;47;3.45;dos
1.779.146.100.792;43601;ESP32-IDS-01;28.5;63.9;549;28;12;3.4;normal
1779153512.97;481226;ESP32-IDS-01;30.0;62.6;10000;798;887;3.35;dos
1.779.148.427.318;231583;ESP32-IDS-01;28.7;69.7;495;97;116;0.4;normal
1.779.166.901.967;422636;ESP32-IDS-01;29.2;53.9;710;9999;0;3.0;dos
1.779.154.148.259;282993;ESP32-IDS-01;30.0;62.5;842;82;32;2.09;dos
1779146601.85;98438;ESP32-IDS-01;28.7;63.6;479;20;0;1.4;normal
1.779.153.546.945;502987;ESP32-IDS-01;30.0;62.7;592;9999;0;3.1;dos
1.779.146.641.194;16531;ESP32-IDS-01;28.7;63.4;801;40;43;2.9;normal
1.779.145.755.715;43220;ESP32-IDS-01;28.5;64.9;701;20;0;0.8;normal
1779157573.8;46825;ESP32-IDS-01;30.2;61.4;593;32;5;4.07;dos
1.779.151.541.029;1343098;ESP32-IDS-01;29.9;64.1;826;20;0;3.4;dos
1.779.146.759.067;134466;ESP32-IDS-01;28.6;63.5;895;20;0;1.7;normal
1.779.151.251.149;1053201;ESP32-IDS-01;29.9;64.8;470;23;5;1.0;dos
1.779.149.619.872;1424170;ESP32-IDS-01;29.0;67.7;426;91;111;3.1;normal
1.779.149.230.572;1035071;ESP32-IDS-01;28.9;68.5;568;20;0;2.1;normal
